Título,Autor,Descripción,Formato,Número de páginas,Fecha de publicación,Calificación promedio,Número de calificaciones,Número de reseñas,URL de la imagen de portada,URL del libro,Categoría
Into the Taylor-Verse: Taylor Swift's Songwriting Eras,Satu Hämeenaho-Fox,"Du premier album au Eras tour, la vie et l'œuvre de Taylor Swift, icône de la pop culture. Un ouvrage approfondi et documenté, au plus près de l'artiste, pour toutes et tous les Swifties, quelle que soit leur era!

Autrice-compositrice-interprète, Taylor Swift a conquis le cœur de centaines de millions de fans avec des paroles universelles, la richesse de son univers musical, des tenues et des concerts mythiques... et son amour pour les chats. Découvrez la vie de la mégastar à travers son processus créatif, l'histoire et le sens caché de ses chansons, ses sources d'inspiration, ses albums ou encore le récit de ses tournées au fil des dix-sept années de sa carrière phénoménale.",Hardcover,288 pages,"Published October 15, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1716889870i/207298332.jpg,https://www.goodreads.com/book/show/207298332-into-the-taylor-verse,Art
The 1619 Project: A Visual Experience,Nikole Hannah-Jones,"An illustrated edition of The 1619 Project, with newly commissioned artwork and archival images, The New York Times Magazine's award-winning reframing of the American founding and its contemporary echoes, placing slavery and resistance at the center of the American story.

Here, in these pages, Black art provides refuge. The marriage of beautiful, haunting and profound words and imagery creates an experience for the reader, a wanting to reflect, to sit in both the discomfort and the joy, to contemplate what a nation owes a people who have contributed so much and yet received so little, and maybe even, to act. --Nikole Hannah-Jones, from the Preface

Curated by the editors of , led by Pulitzer Prize-winning journalist Nikole Hannah-Jones, this illustrated edition of features seven chapters from the original book that lend themselves to beautiful, engaging visuals, deepening the experience of the content. offers the same revolutionary idea as the original book, an argument for a new national origin story that begins in late August of 1619, when a cargo ship of enslaved people from Africa arrived on the shores of Jamestown, Virginia. Only by reckoning with this difficult history and understanding its powerful influence on our present can we prepare ourselves for a more just future. 

Filled with original art by thirteen Black artists like Carrie Mae Weems, Calida Rawles, Vitus Shell, Xaviera Simmons, on the themes of resistance and freedom, a brand-new photo essay about slave auction sites, vivid photos of Black Americans celebrating their own forms of patriotism, and a collection of archival images of Black families by Black photographers, this gorgeous volume offers readers a dynamic new way of experiencing the impact of .

Complete with many of the powerful essays and vignettes from the original edition, written by some of the most brilliant journalists, scholars, and thinkers of our time, brings to life a fuller, more comprehensive understanding of American history and culture.",Hardcover,288 pages,"Published October 22, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1716910831i/203608467.jpg,https://www.goodreads.com/book/show/203608467-the-1619-project,Art
The Maverick's Museum: Albert Barnes and His American Dream,Blake Gopnik,"A fascinating biography of the philanthropist Albert Barnes, whose pioneering collection of modern art was meant to transform America’s soul

From prominent critic and biographer Blake Gopnik comes a compelling new portrait of America’s first great collector of modern art, Albert Coombs Barnes. Raised in a Philadelphia slum shortly after the Civil War, Barnes rose to earn a medical degree and then made a fortune from a pioneering antiseptic treatment for newborns. Never losing sight of the working-class neighbors of his youth, Barnes became a ruthless advocate for their rights and needs. His vast art collection—180 Renoirs, 67 Cézannes, 59 Matisses, 45 Picassos—was dedicated to enriching their cultural lives. A miner was more likely to get access than a mine owner.

Gopnik’s meticulous research reveals Barnes as a fierce advocate for the egalitarian ideals of his era’s progressive movement. But while his friends in the movement worked to reshape American society, Barnes wanted to transform the nation’s aesthetic life, taking art out of the hands of the elite and making it available to the average American.

The Maverick’s Museum offers a vivid picture of one of America’s great eccentrics. The sheer ferocity of Barnes’s democratic ambitions left him with more enemies than allies among people of all classes, but for a circle of intimates, he was a model of intelligence, generosity, and loyalty. In this compelling portrait, Gopnik reveals a life shaped by contradictions, one that left a lasting impact.",Hardcover,416 pages,"Expected publication March 18, 2025",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731343701i/214504700.jpg,https://www.goodreads.com/book/show/214504700-the-maverick-s-museum,Art
The Paris Girl,Francelle Bradford White,"Movingly written by her own daughter, this captivating and intimate biography chronicles the astonishing courage Andrée Griotteray, a teenage girl in Nazi-occupied Paris who would become a hero of the French Resistance through her harrowing work as an underground intelligence courier. For readers of Three Ordinary Girls, A Woman of No Importance, Lis Parisiennes, The Girls Who Stepped Out of Line, and the many other untold stories of WWII’s “hidden figures.”

Andrée Griotteray was just 19 when the Germans invaded France and occupied Paris, where she worked as a clerk in the passport office. When her younger brother, Alain, created a resistance network named Orion, Andrée joined his efforts, secretly typing up and printing copies of an underground newspaper, and stealing I.D. cards which allowed scores of Jewish citizens to escape persecution.

Charming and pretty, Andrée nimbly avoided the unwanted attentions of German officers, even as she secretly began working as an undercover courier. Displaying fearlessness in the face of immense pressure, she traveled throughout the county delivering vital intelligence destined for France’s allies—until the day she was betrayed and arrested.

Throughout her ordeal, Andrée stayed composed, refusing to inform on her comrades. Before she was set free, she even duped her interrogators into revealing who had betrayed Orion, and continued her underground activities until France’s liberation.

Weaving in diary entries, letters, and conversations, Andrée’s daughter, Francelle, brings a uniquely personal slant to her mother’s story. The Paris Girl reveals the narrow escapes and moments of terror, the daily acts of bravery and defiance, and the extraordinary courage displayed by Andrée and so many of her contemporaries, that helped turned the tide of war.",Hardcover,256 pages,"Expected publication December 24, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1711421028i/210365293.jpg,https://www.goodreads.com/book/show/210365293-the-paris-girl,Biography
"Love, Queenie: Merle Oberon, Hollywood's First South Asian Star",Mayukh Sen,"A beautiful reclamation of a pioneering South Asian actress captures her glittering, complicated life and lasting impact on Hollywood.

Merle Oberon attained Hollywood immortality with a nomination for a Best Leading Actress Oscar for her role in the 1936 film The Dark Angel. It was the first time a performer of color had received an acting nomination at the Academy Awards, but because Oberon concealed her South Asian identity throughout her lifetime and “passed” for white, very few people knew it. In Love, Queenie, the first biography in more than forty years of the India-born actress, Mayukh Sen draws on family interviews and previously untapped archival research to animate the star’s hard-won journey to fame. From an upbringing in poverty, she rose to the highest echelons of the film-world elite during Hollywood’s racially exclusionary Golden Age. A major biography of an often-overlooked talent, empathetically captures one woman’s story while illuminating truths on race, gender, and power that still resonate today.",Hardcover,320 pages,"Expected publication March 4, 2025",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1721681086i/213395439.jpg,https://www.goodreads.com/book/show/213395439-love-queenie,Biography
The Maverick's Museum: Albert Barnes and His American Dream,Blake Gopnik,"A fascinating biography of the philanthropist Albert Barnes, whose pioneering collection of modern art was meant to transform America’s soul

From prominent critic and biographer Blake Gopnik comes a compelling new portrait of America’s first great collector of modern art, Albert Coombs Barnes. Raised in a Philadelphia slum shortly after the Civil War, Barnes rose to earn a medical degree and then made a fortune from a pioneering antiseptic treatment for newborns. Never losing sight of the working-class neighbors of his youth, Barnes became a ruthless advocate for their rights and needs. His vast art collection—180 Renoirs, 67 Cézannes, 59 Matisses, 45 Picassos—was dedicated to enriching their cultural lives. A miner was more likely to get access than a mine owner.

Gopnik’s meticulous research reveals Barnes as a fierce advocate for the egalitarian ideals of his era’s progressive movement. But while his friends in the movement worked to reshape American society, Barnes wanted to transform the nation’s aesthetic life, taking art out of the hands of the elite and making it available to the average American.

The Maverick’s Museum offers a vivid picture of one of America’s great eccentrics. The sheer ferocity of Barnes’s democratic ambitions left him with more enemies than allies among people of all classes, but for a circle of intimates, he was a model of intelligence, generosity, and loyalty. In this compelling portrait, Gopnik reveals a life shaped by contradictions, one that left a lasting impact.",Hardcover,416 pages,"Expected publication March 18, 2025",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1731343701i/214504700.jpg,https://www.goodreads.com/book/show/214504700-the-maverick-s-museum,Biography
How to Win at Chess: The Ultimate Guide for Beginners and Beyond,Levy Rozman,"Learn chess from International Master and Youtube's top chess teacher Levy Rozman (aka GothamChess) in this refreshing and fun guide for beginner and intermediate players.

Clever and informative, How to Win at Chess teaches you everything you need to know about the game, including all the important moves and strategies to start off strong and keep you thinking several steps ahead.

Full of Rozman's signature charm and humor that have made him beloved by millions of fans, the first half of this unique guide introduces rising players (0-800 Elo rating) to the four key areas to consider when playing chess—openings, endings, tactics, and strategy—and the second half builds upon these core skills for more experienced players (800-1300 Elo rating). Brimming with practical and easy-to-follow tips for improving your game, How to Win at Chess includes more than 500 instructional gameplay illustrations to help you better visualize the board, as well as chapter-specific QR codes for exclusive bonus content on Chessly, Rozman's teaching platform.

Whether you want to become a recreational chess player or are training to be a Grandmaster, How to Win at Chess is the perfect interactive introduction to the world of chess!",Hardcover,261 pages,"First published October 24, 2023",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1694278288i/198850022.jpg,https://www.goodreads.com/book/show/198850022-how-to-win-at-chess,Business
Exceptions to the Rule,Billy Canu,"What if the key to success isn't just about talent, luck, or genius; but the quiet, compounding power of small, deliberate choices?

In Exceptions to the Rule, Billy Canu takes readers on a transformative journey, blending neuroscience, psychology, and real-world examples to reveal how greatness is built; one incremental step at a time.

Learn how to master consistency, embrace failure, and harness the hidden opportunities that lie in serendipity. With actionable insights and captivating stories, Exceptions to the Rule challenges conventional wisdom, offering a fresh perspective on how to unlock your true potential.

Whether you're building a business, pursuing a dream, or simply striving to be better, this book will show you why the rules don't apply to those who dare to rewrite them.",Kindle Edition,242 pages,"Published November 21, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732317498i/221835172.jpg,https://www.goodreads.com/book/show/221835172-exceptions-to-the-rule,Business
You Deserve to Be Rich: Master the Inner Game of Wealth and Claim Your Future,Rashad Bilal,"A revolutionary playbook for achieving financial freedom within a broken system, from the founders of the explosively popular educational platform Earn Your LeisureGrowing up as best friends in New York, Troy Millings and Rashad Bilal witnessed both the boundless creativity of young Black men and the systemic barriers that too often kept them from turning that ingenuity and hustle into lasting wealth. It became their mission to level the playing field. So they joined forces on a podcast, mixing “barbershop conversations with Wall Street,"" that would eventually draw tens of millions of fans, garnering the attention of celebrity moguls from Tyler Perry to Barbara Corcoran.Now, for the first time, Bilal and Millings reveal their blueprint for financial earning enough passive and residual income to control your time, working conditions, and lifestyle. The key is to see money as a strategic tool for wealth development rather than an end in and of itself. You Deserve to Be Rich breaks down strategies the psychological toll of growing up living paycheck to paycheck, , and reframing your relationship with money  outside of your 9-5, from long-term and short-term investing in often-overlooked sectors to side hustles with passive income potentialMastering the complexities of the tax and insurance systems and Navigating the family expectations that can complicate financial planning and In their signature style, Bilal and Millings funnel finance, investing, and entrepreneurial lessons through the language of pop culture, with chapter titles drawn from hip-hop lyrics and quotes from TV shows—a first-of-its-kind playbook for beating the proverbial money game, whether you grew up knowing the rules or not.",Hardcover,320 pages,"Expected publication January 14, 2025",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1713149394i/211399772.jpg,https://www.goodreads.com/book/show/211399772-you-deserve-to-be-rich,Business
The Boy in the Balloon,D.A. Schaeffer,"One night to save his friends. One night to make a decision that will change his life. One leap into a magical world that will change them all forever.

Family has never really worked out for Ben. When 11 year old Ben Turner’s new foster parents demand he get rid of his two dogs, the only real family he’s ever known, a magical balloon, the F.S Quest, appears one evening outside his window. It was the escape he had often dreamt of. To all of their delight, the balloon distributes magical enhancements to them. But instead of floating away happily ever after, they happen upon a young girl and her brother in desperate need of rescue.

Though Ben has entered a magical realm with an enchanted balloon at his command, has a wise magical guide, and magical troops on the ground, he also has sinister evil beings and an absolutely ruthless human family to deal with. Will the newly acquired magic be enough to help Ben and his friends free the young girl and her brother? Or--should they just sail away and leave well enough alone? And what about the powerful mysterious being who seems to be constantly tracking Ben?

It certainly wasn’t the journey Ben had been hoping for. But is it the one he truly needs?

is the touching first book in a middle grade, contemporary fantasy fiction adventure series, . If you like magical worlds, adventure and danger, friendships and sacrifice, with unexpected plot twists…you’ll love .

Order a copy of to start this exciting new Purlandion series today!",Kindle Edition,232 pages,"Published October 23, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1729800913i/220805845.jpg,https://www.goodreads.com/book/show/220805845-the-boy-in-the-balloon,Children's
